,logical_operation,cnt,percentage,user_id
8,"('s1', 's29', 's5', 's16', 's0')",780,0.022285714285714287,user_1
15,"('s11', 's22', 's6', 's2')",771,0.02202857142857143,user_1
3,"('s11', 's6', 's30', 's15', 's24', 's44')",1163,0.03322857142857143,user_1
24,"('s14', 's48', 's10', 's24')",1567,0.04477142857142857,user_1
22,"('s16', 's9', 's49', 's17', 's43')",810,0.023142857142857142,user_1
9,"('s17', 's28', 's7')",1601,0.04574285714285714,user_1
0,"('s17', 's37', 's36', 's1', 's44', 's8')",1568,0.0448,user_1
4,"('s22', 's21', 's25', 's9', 's44', 's32')",1137,0.032485714285714284,user_1
17,"('s25', 's21', 's4')",775,0.02214285714285714,user_1
1,"('s27', 's38', 's15')",1118,0.03194285714285714,user_1
19,"('s27', 's40', 's33', 's8', 's15')",770,0.022,user_1
28,"('s3', 's36', 's49', 's1', 's19')",1163,0.03322857142857143,user_1
27,"('s34', 's44', 's12', 's2', 's26', 's42')",773,0.022085714285714285,user_1
20,"('s36', 's33', 's46')",798,0.0228,user_1
2,"('s37', 's16', 's28')",734,0.02097142857142857,user_1
14,"('s39', 's35', 's41', 's36', 's22', 's48')",1597,0.04562857142857143,user_1
5,"('s4', 's15', 's49')",1639,0.04682857142857143,user_1
16,"('s4', 's49', 's17')",790,0.022571428571428572,user_1
29,"('s40', 's19', 's10')",1501,0.042885714285714284,user_1
7,"('s42', 's1', 's4', 's40', 's16')",1548,0.04422857142857143,user_1
11,"('s42', 's22', 's4', 's16', 's2')",1623,0.04637142857142857,user_1
6,"('s42', 's5', 's18')",1571,0.044885714285714286,user_1
10,"('s49', 's26', 's12', 's33')",1180,0.03371428571428572,user_1
21,"('s6', 's2', 's21', 's25', 's14', 's19')",1120,0.032,user_1
25,"('s6', 's27', 's32')",1129,0.03225714285714286,user_1
23,"('s6', 's46', 's11', 's22')",1145,0.03271428571428572,user_1
26,"('s7', 's30', 's12', 's28', 's28')",1567,0.04477142857142857,user_1
12,"('s7', 's44', 's23', 's11')",1148,0.0328,user_1
18,"('s7', 's5', 's41')",1146,0.03274285714285714,user_1
13,"('s8', 's29', 's25', 's46')",768,0.021942857142857142,user_1
